SRX5843369	Lactobacillus reuteri
SRX456275	Lactobacillus vaginalis
ERX178677	Lactobacillus vaginalis
ERX178658	Lactobacillus vaginalis
ERX529233	Lactobacillus vaginalis
ERX529146	Lactobacillus vaginalis
ERX178743	Lactobacillus vaginalis
ERX178741	Lactobacillus vaginalis
ERX980033	Lactobacillus vaginalis
SRX5025521	Lactobacillus vaginalis
ERX980034	Lactobacillus vaginalis
ERX178672	Lactobacillus vaginalis
ERX271982	Lactobacillus vaginalis
ERX450884	Lactobacillus vaginalis
ERX2274684	Lactobacillus vaginalis
ERX2274539	Lactobacillus vaginalis
ERX450917	Lactobacillus vaginalis
ERX272015	Lactobacillus vaginalis
ERX529195	Lactobacillus vaginalis
ERX529265	Lactobacillus vaginalis
ERX272005	Lactobacillus vaginalis
ERX450907	Lactobacillus vaginalis
ERX529153	Lactobacillus vaginalis
ERX529179	Lactobacillus vaginalis
ERX450868	Lactobacillus vaginalis
ERX271966	Lactobacillus vaginalis
SRX456345	Lactobacillus frumenti
ERX359759	Lactobacillus frumenti
SRX456277	Lactobacillus gastricus
ERX271948	Lactobacillus gastricus
ERX450850	Lactobacillus gastricus
ERX271967	Lactobacillus gastricus
ERX271959	Lactobacillus gastricus
ERX450861	Lactobacillus gastricus
ERX450869	Lactobacillus gastricus
ERX272038	Lactobacillus gastricus
ERX450940	Lactobacillus gastricus
ERX359704	Lactobacillus equigenerosi
SRX456238	Lactobacillus equigenerosi
ERX178681	Lactobacillus fermentum
SRX4958455	Lactobacillus fermentum
SRX4367479	Lactobacillus fermentum
ERX2938651	Lactobacillus fermentum
ERX450867	Lactobacillus fermentum
ERX271965	Lactobacillus fermentum
ERX529188	Lactobacillus fermentum
ERX529191	Lactobacillus fermentum
ERX529183	Lactobacillus fermentum
ERX529193	Lactobacillus fermentum
SRX1615118	Lactobacillus fermentum
SRX4417045	Lactobacillus fermentum
ERX271980	Lactobacillus fermentum
ERX450882	Lactobacillus fermentum
ERX178742	Lactobacillus fermentum
SRX4417046	Lactobacillus fermentum
ERX272013	Lactobacillus fermentum
ERX529113	Lactobacillus fermentum
ERX450915	Lactobacillus fermentum
ERX2338429	Lactobacillus fermentum
ERX529230	Lactobacillus fermentum
ERX529234	Lactobacillus fermentum
ERX529227	Lactobacillus fermentum
ERX178653	Lactobacillus fermentum
ERX529229	Lactobacillus fermentum
ERX529156	Lactobacillus fermentum
ERX529157	Lactobacillus fermentum
ERX529150	Lactobacillus fermentum
ERX529176	Lactobacillus fermentum
ERX529174	Lactobacillus fermentum
ERX529101	Lactobacillus fermentum
ERX980027	Lactobacillus fermentum
ERX450892	Lactobacillus fermentum
ERX529181	Lactobacillus fermentum
ERX450932	Lactobacillus fermentum
ERX272030	Lactobacillus fermentum
ERX529180	Lactobacillus fermentum
ERX450876	Lactobacillus fermentum
ERX272006	Lactobacillus fermentum
ERX271974	Lactobacillus fermentum
ERX450908	Lactobacillus fermentum
