study_accession sample_accession    experiment_accession
PRJEB3060	SAMEA1571082	ERX178714
PRJEB3060	SAMEA1571083	ERX178674
PRJEB3060	SAMEA1571085	ERX178666
PRJEB3060	SAMEA1571087	ERX178732
PRJEB3060	SAMEA1571089	ERX178657
PRJEB3060	SAMEA1571090	ERX178670
PRJEB3060	SAMEA1571092	ERX178661
PRJEB3060	SAMEA1571093	ERX178720
PRJEB3060	SAMEA1571094	ERX178740
PRJEB3060	SAMEA1571095	ERX178656
PRJEB3060	SAMEA1571096	ERX178721
PRJEB3060	SAMEA1571097	ERX178662
PRJEB3060	SAMEA1571099	ERX178731
PRJEB3060	SAMEA1571100	ERX178736
PRJEB3060	SAMEA1571103	ERX178652
PRJEB3060	SAMEA1571104	ERX178725
PRJEB3060	SAMEA1571105	ERX178675
PRJEB3060	SAMEA1571106	ERX178680
PRJEB3060	SAMEA1571108	ERX178676
PRJEB3060	SAMEA1571109	ERX178671
PRJEB3060	SAMEA1571112	ERX178660
PRJEB3060	SAMEA1571113	ERX178650
PRJEB3060	SAMEA1571114	ERX178665
PRJEB3060	SAMEA1571115	ERX178741
PRJEB3060	SAMEA1571118	ERX178726
PRJEB3060	SAMEA1571119	ERX178730
PRJEB3060	SAMEA1571120	ERX178651
PRJEB3060	SAMEA1571122	ERX178655
PRJEB3060	SAMEA1571123	ERX178722
PRJEB3060	SAMEA1571124	ERX178681
PRJEB3060	SAMEA1571126	ERX178735
PRJEB3060	SAMEA1920316	ERX271948
PRJEB3060	SAMEA1920316	ERX450850
PRJEB3060	SAMEA1920317	ERX271949
PRJEB3060	SAMEA1920317	ERX450851
PRJEB3060	SAMEA1920318	ERX271951
PRJEB3060	SAMEA1920318	ERX450853
PRJEB3060	SAMEA1920319	ERX271950
PRJEB3060	SAMEA1920319	ERX450852
PRJEB3060	SAMEA1920321	ERX271952
PRJEB3060	SAMEA1920321	ERX450854
PRJEB3060	SAMEA1920324	ERX271956
PRJEB3060	SAMEA1920324	ERX450858
PRJEB3060	SAMEA1920325	ERX271957
PRJEB3060	SAMEA1920325	ERX450859
PRJEB3060	SAMEA1920326	ERX271958
PRJEB3060	SAMEA1920326	ERX450860
PRJEB3060	SAMEA1920329	ERX271960
PRJEB3060	SAMEA1920329	ERX450862
PRJEB3060	SAMEA1920330	ERX271959
PRJEB3060	SAMEA1920330	ERX450861
PRJEB3060	SAMEA1920331	ERX271964
PRJEB3060	SAMEA1920331	ERX450866
PRJEB3060	SAMEA1920333	ERX271965
PRJEB3060	SAMEA1920333	ERX450867
PRJEB3060	SAMEA1920334	ERX271967
PRJEB3060	SAMEA1920334	ERX450869
PRJEB3060	SAMEA1920335	ERX271966
PRJEB3060	SAMEA1920335	ERX450868
PRJEB3060	SAMEA1920336	ERX271968
PRJEB3060	SAMEA1920336	ERX450870
PRJEB3060	SAMEA1920340	ERX271972
PRJEB3060	SAMEA1920340	ERX450874
PRJEB3060	SAMEA1920341	ERX271973
PRJEB3060	SAMEA1920341	ERX450875
PRJEB3060	SAMEA1920342	ERX271975
PRJEB3060	SAMEA1920342	ERX450877
PRJEB3060	SAMEA1920343	ERX271974
PRJEB3060	SAMEA1920343	ERX450876
PRJEB3060	SAMEA1920344	ERX271976
PRJEB3060	SAMEA1920344	ERX450878
PRJEB3060	SAMEA1920348	ERX271980
PRJEB3060	SAMEA1920348	ERX450882
PRJEB3060	SAMEA1920349	ERX271982
PRJEB3060	SAMEA1920349	ERX450884
PRJEB3060	SAMEA1920350	ERX271981
PRJEB3060	SAMEA1920350	ERX450883
PRJEB3060	SAMEA1920351	ERX271983
PRJEB3060	SAMEA1920351	ERX450885
PRJEB3060	SAMEA1920356	ERX271988
PRJEB3060	SAMEA1920356	ERX450890
PRJEB3060	SAMEA1920357	ERX271990
PRJEB3060	SAMEA1920357	ERX450892
PRJEB3060	SAMEA1920358	ERX271989
PRJEB3060	SAMEA1920358	ERX450891
PRJEB3060	SAMEA1920360	ERX271991
PRJEB3060	SAMEA1920360	ERX450893
PRJEB3060	SAMEA1920364	ERX271996
PRJEB3060	SAMEA1920364	ERX450898
PRJEB3060	SAMEA1920365	ERX271998
PRJEB3060	SAMEA1920365	ERX450900
PRJEB3060	SAMEA1920366	ERX271997
PRJEB3060	SAMEA1920366	ERX450899
PRJEB3060	SAMEA1920369	ERX271999
PRJEB3060	SAMEA1920369	ERX450901
PRJEB3060	SAMEA1920372	ERX272004
PRJEB3060	SAMEA1920372	ERX450906
PRJEB3060	SAMEA1920373	ERX272005
PRJEB3060	SAMEA1920373	ERX450907
PRJEB3060	SAMEA1920374	ERX272006
PRJEB3060	SAMEA1920374	ERX450908
PRJEB3060	SAMEA1920375	ERX272007
PRJEB3060	SAMEA1920375	ERX450909
PRJEB3060	SAMEA1920379	ERX272012
PRJEB3060	SAMEA1920379	ERX450914
PRJEB3060	SAMEA1920381	ERX272013
PRJEB3060	SAMEA1920381	ERX450915
PRJEB3060	SAMEA1920382	ERX272015
PRJEB3060	SAMEA1920382	ERX450917
PRJEB3060	SAMEA1920385	ERX272014
PRJEB3060	SAMEA1920385	ERX450916
PRJEB3060	SAMEA1920388	ERX272022
PRJEB3060	SAMEA1920388	ERX450924
PRJEB3060	SAMEA1920389	ERX272021
PRJEB3060	SAMEA1920389	ERX450923
PRJEB3060	SAMEA1920390	ERX272020
PRJEB3060	SAMEA1920390	ERX450922
PRJEB3060	SAMEA1920391	ERX272023
PRJEB3060	SAMEA1920391	ERX450925
PRJEB3060	SAMEA1920396	ERX272028
PRJEB3060	SAMEA1920396	ERX450930
PRJEB3060	SAMEA1920397	ERX272031
PRJEB3060	SAMEA1920397	ERX450933
PRJEB3060	SAMEA1920398	ERX272030
PRJEB3060	SAMEA1920398	ERX450932
PRJEB3060	SAMEA1920399	ERX272029
PRJEB3060	SAMEA1920399	ERX450931
PRJEB3060	SAMEA1920403	ERX272036
PRJEB3060	SAMEA1920403	ERX450938
PRJEB3060	SAMEA1920404	ERX272037
PRJEB3060	SAMEA1920404	ERX450939
PRJEB3060	SAMEA1920406	ERX272038
PRJEB3060	SAMEA1920406	ERX450940
PRJEB3060	SAMEA1920408	ERX272039
PRJEB3060	SAMEA1920408	ERX450941
PRJEB3060	SAMEA2173665	ERX359689
PRJEB3060	SAMEA2173666	ERX359690
PRJEB3060	SAMEA2173667	ERX359691
PRJEB3060	SAMEA2173668	ERX359692
PRJEB3060	SAMEA2173669	ERX359693
PRJEB3060	SAMEA2173670	ERX359694
PRJEB3060	SAMEA2173671	ERX359695
PRJEB3060	SAMEA2173672	ERX359696
PRJEB3060	SAMEA2173673	ERX359697
PRJEB3060	SAMEA2173675	ERX359699
PRJEB3060	SAMEA2173677	ERX359701
PRJEB3060	SAMEA2173679	ERX359703
PRJEB3060	SAMEA2173680	ERX359704
PRJEB3060	SAMEA2173682	ERX359706
PRJEB3060	SAMEA2173683	ERX359707
PRJEB3060	SAMEA2173685	ERX359709
PRJEB3060	SAMEA2173686	ERX359710
PRJEB3060	SAMEA2173688	ERX359712
PRJEB3060	SAMEA2173689	ERX359713
PRJEB3060	SAMEA2173690	ERX359714
PRJEB3060	SAMEA2173691	ERX359715
PRJEB3060	SAMEA2173692	ERX359716
PRJEB3060	SAMEA2173693	ERX359717
PRJEB3060	SAMEA2173694	ERX359718
PRJEB3060	SAMEA2173695	ERX359719
PRJEB3060	SAMEA2173696	ERX359720
PRJEB3060	SAMEA2173697	ERX359721
PRJEB3060	SAMEA2173698	ERX359722
PRJEB3060	SAMEA2173699	ERX359723
